2026-09-08 21:06:07.031 +05:30 [WRN] Failed to set cache for key 'trip:all:page:1:size:20': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 3, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=2,Free=32765,Min=8,Max=32767), POOL: (Threads=4,QueuedItems=0,CompletedItems=760,Timers=7), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:06:28.031 +05:30 [WRN] Failed to set cache for key 'trip:id:1': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 1, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 8, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=1,Free=32766,Min=8,Max=32767), POOL: (Threads=6,QueuedItems=0,CompletedItems=882,Timers=6), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:06:33.050 +05:30 [WRN] Failed to set cache for key 'trip:user:1:member': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 8, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=2,Free=32765,Min=8,Max=32767), POOL: (Threads=6,QueuedItems=0,CompletedItems=898,Timers=5), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:07:06.031 +05:30 [WRN] Failed to set cache for key 'trip:id:1': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 2, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 13, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=1,Free=32766,Min=8,Max=32767), POOL: (Threads=4,QueuedItems=0,CompletedItems=1069,Timers=4), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:07:17.034 +05:30 [WRN] Failed to set cache for key 'trip:1:requests:all': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 1, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 17, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=0,Free=32767,Min=8,Max=32767), POOL: (Threads=4,QueuedItems=0,CompletedItems=1117,Timers=6), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:07:29.024 +05:30 [WRN] Failed to set cache for key 'user:id:1': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 19, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=0,Free=32767,Min=8,Max=32767), POOL: (Threads=2,QueuedItems=0,CompletedItems=1162,Timers=6), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:07:46.030 +05:30 [WRN] Failed to set cache for key 'trip:user:1:created': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 22, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=0,Free=32767,Min=8,Max=32767), POOL: (Threads=3,QueuedItems=0,CompletedItems=1244,Timers=5), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:08:15.030 +05:30 [WRN] Failed to set cache for key 'trip:id:1': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 24, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=1,Free=32766,Min=8,Max=32767), POOL: (Threads=3,QueuedItems=0,CompletedItems=1366,Timers=5), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:10:06.066 +05:30 [WRN] Failed to set cache for key 'trip:all:page:1:size:20': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 0, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 28, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=0,Free=32767,Min=8,Max=32767), POOL: (Threads=2,QueuedItems=0,CompletedItems=1805,Timers=7), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:10:17.033 +05:30 [WRN] Failed to set cache for key 'trip:all:page:1:size:20': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 1, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 32, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=0,Free=32767,Min=8,Max=32767), POOL: (Threads=4,QueuedItems=0,CompletedItems=1877,Timers=6), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
2026-09-08 21:10:25.022 +05:30 [WRN] Failed to set cache for key 'trip:all:page:1:size:20': The message timed out in the backlog attempting to send because no connection became available (5000ms) - Last Connection Exception: UnableToConnect on redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214/Interactive, Initializing/NotStarted, last: NONE, origin: BeginConnectAsync, outstanding: 0, last-read: 0s ago, last-write: 0s ago, keep-alive: 60s, state: Connecting, mgr: 10 of 10 available, last-heartbeat: never, global: 0s ago, v: 2.12.14.58429, command=SADD, timeout: 5000, inst: 0, qu: 1, qs: 0, aw: False, bw: CheckingForTimeout, last-in: 0, cur-in: 0, sync-ops: 0, async-ops: 34, serverEndpoint: redis-16214.crce182.ap-south-1-1.ec2.cloud.redislabs.com:16214, conn-sec: n/a, aoc: 0, mc: 1/1/0, mgr: 10 of 10 available, clientName: LAPTOP-IIRJJ5RN(SE.Redis-v2.12.14.58429), IOCP: (Busy=0,Free=1000,Min=1,Max=1000), WORKER: (Busy=1,Free=32766,Min=8,Max=32767), POOL: (Threads=4,QueuedItems=0,CompletedItems=1901,Timers=6), v: 2.12.14.58429 (Please take a look at this article for some common client-side issues that can cause timeouts: https://stackexchange.github.io/StackExchange.Redis/Timeouts)
